,feature,pop_same,rb_same,jz_same,pop_rb,pop_jz,rb_jz
0,"('danceability', 'duration_ms')",1.850988227517916,1.8869977294761364,1.8672645497008846,1.8525748920427267,1.8518693400515993,1.8518884923085597
1,"('danceability', 'energy')",1.7753520073834383,1.8245520503866677,1.7654086898240047,1.76999954601994,1.7113784966835501,1.7634934683733046
2,"('danceability', 'instrumentalness')",1.764129590460719,1.8694724091442096,1.6908019244341885,1.792405830091299,1.6449157803162346,1.6126117599724585
3,"('danceability', 'acousticness')",1.7480155254193732,1.760139607839102,1.7011233864678224,1.7254103014994648,1.5847937613047298,1.6481000984540293
4,"('duration_ms', 'energy')",1.838919892707587,1.8645483714958093,1.7869001706986798,1.834968799667989,1.7418772846897763,1.7881104202890692
5,"('duration_ms', 'instrumentalness')",1.7651367999268182,1.9001079704627457,1.670402101388384,1.8052212216730594,1.5984754073878928,1.534400243167316
6,"('duration_ms', 'acousticness')",1.7219903108870251,1.7638478604144447,1.7161280829553727,1.7063340042433115,1.5690859015898104,1.6760562467512605
7,"('energy', 'instrumentalness')",1.7728495554614272,1.848791708675088,1.633791683430059,1.7888344242830627,1.5585555617121036,1.5466024090627377
8,"('energy', 'acousticness')",1.7414365871128383,1.7388337313804731,1.6465717769943902,1.7106803321444528,1.5171600155139269,1.6028980672111945
9,"('instrumentalness', 'acousticness')",1.617898147320615,1.7779642185508118,1.618588253883249,1.6436373274628866,1.5140814167830021,1.5472045525999303
10,"('danceability', 'duration_ms', 'energy')",1.769114526881802,1.819176541670987,1.7540495013446755,1.7652608709580424,1.700099057832619,1.7514157801626251
11,"('danceability', 'duration_ms', 'instrumentalness')",1.7570944380962696,1.8604032827290742,1.6832570965904052,1.785435634358866,1.6381345610011637,1.6092208239998678
12,"('danceability', 'duration_ms', 'acousticness')",1.7362247990278588,1.7563240340900306,1.6928735826329215,1.7181091327686198,1.5797377337495184,1.6421646044177483
13,"('duration_ms', 'energy', 'instrumentalness')",1.7635403724586223,1.8396752954848121,1.627686456549604,1.7802574035714402,1.552107165516952,1.546504474862845
14,"('duration_ms', 'energy', 'acousticness')",1.7341455005225954,1.7355012064041022,1.6405701716330197,1.7061129194290143,1.5149915383865715,1.5991014854414851
15,"('energy', 'instrumentalness', 'acousticness')",1.6814037294669881,1.7211709518692515,1.5571619050655563,1.6706072633513425,1.4288240210773957,1.4741741504710086
16,"('danceability', 'duration_ms', 'energy', 'instrumentalness')",1.7142929304076204,1.8016028689664845,1.6310152486828182,1.726952056018807,1.5639687681427408,1.5757232269889763
17,"('danceability', 'duration_ms', 'energy', 'acousticness')",1.6985372991175613,1.7258991704964248,1.6417236726092257,1.6772832723592475,1.5290705612728623,1.6036872884021554
18,"('duration_ms', 'energy', 'instrumentalness', 'acousticness')",1.6777480518448835,1.7187431035871923,1.555468944252684,1.6682385233151356,1.4301531500346152,1.4756965318908353
19,"['danceability', 'duration_ms', 'energy', 'instrumentalness', 'acousticness']",1.6541045044851714,1.712966221780107,1.5648655427621598,1.6483414424251042,1.4538610765473112,1.4970604148991962
